Record Date,Security Type Description,Security Class Description,Securities Outstanding Amount,Transactions Month,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2022-03-31,Marketable,TIPS,135849900.00,202203,7,2022,2,2022,1,03,31
2022-03-31,Savings Bond,E,0.00,202203,1,2022,2,2022,1,03,31
2022-02-28,Savings Bond,E,15540.96,202202,1,2022,2,2022,1,02,28
2022-02-28,Savings Bond,EE,4167264602.90,202202,2,2022,2,2022,1,02,28
2022-02-28,Savings Bond,I,22429985002.42,202202,3,2022,2,2022,1,02,28
2022-02-28,Marketable,Bond,569134800.00,202202,4,2022,2,2022,1,02,28
2022-02-28,Marketable,Bill,14258049200.00,202202,5,2022,2,2022,1,02,28
2022-02-28,Marketable,Note,6031604200.00,202202,6,2022,2,2022,1,02,28
2022-02-28,Marketable,TIPS,135931400.00,202202,7,2022,2,2022,1,02,28
2022-01-31,Savings Bond,E,218.89,202201,1,2022,2,2022,1,01,31
2022-01-31,Savings Bond,EE,4222171556.39,202201,2,2022,2,2022,1,01,31
2022-01-31,Savings Bond,I,21435294131.33,202201,3,2022,2,2022,1,01,31
2022-01-31,Marketable,Bond,561641300.00,202201,4,2022,2,2022,1,01,31
2022-01-31,Marketable,Bill,13951610400.00,202201,5,2022,2,2022,1,01,31
2022-01-31,Marketable,Note,5972791300.00,202201,6,2022,2,2022,1,01,31
2022-01-31,Marketable,TIPS,135822000.00,202201,7,2022,2,2022,1,01,31
2021-12-31,Savings Bond,EE,4296075578.15,202112,1,2022,1,2021,4,12,31
2021-12-31,Savings Bond,I,18111262478.97,202112,2,2022,1,2021,4,12,31
2021-12-31,Marketable,Bond,562594200.00,202112,3,2022,1,2021,4,12,31
2021-12-31,Marketable,Bill,13881298100.00,202112,4,2022,1,2021,4,12,31
2021-12-31,Marketable,Note,5977789200.00,202112,5,2022,1,2021,4,12,31
2021-12-31,Marketable,TIPS,166483200.00,202112,6,2022,1,2021,4,12,31
2021-11-30,Savings Bond,E,0.00,202111,1,2022,1,2021,4,11,30
2021-11-30,Savings Bond,EE,4321958494.86,202111,2,2022,1,2021,4,11,30
2021-11-30,Savings Bond,I,15267756058.95,202111,3,2022,1,2021,4,11,30
2021-11-30,Marketable,Bond,562202300.00,202111,4,2022,1,2021,4,11,30
2021-11-30,Marketable,Bill,14038289100.00,202111,5,2022,1,2021,4,11,30
2021-11-30,Marketable,Note,5970693100.00,202111,6,2022,1,2021,4,11,30
2021-11-30,Marketable,TIPS,167073300.00,202111,7,2022,1,2021,4,11,30
2021-10-31,Savings Bond,E,21182.40,202110,1,2022,1,2021,4,10,31
2021-10-31,Savings Bond,EE,4339568077.48,202110,2,2022,1,2021,4,10,31
2021-10-31,Savings Bond,I,14132775958.17,202110,3,2022,1,2021,4,10,31
2021-10-31,Marketable,Bond,583780300.00,202110,4,2022,1,2021,4,10,31
2021-10-31,Marketable,Bill,14407168400.00,202110,5,2022,1,2021,4,10,31
2021-10-31,Marketable,Note,6019822100.00,202110,6,2022,1,2021,4,10,31
2021-10-31,Marketable,TIPS,167197300.00,202110,7,2022,1,2021,4,10,31
2021-09-30,Savings Bond,I,13828771378.03,202109,3,2021,4,2021,3,09,30
2021-09-30,Marketable,Bill,14577213300.00,202109,5,2021,4,2021,3,09,30
2021-09-30,Marketable,Note,6003892800.00,202109,6,2021,4,2021,3,09,30
2021-09-30,Marketable,TIPS,167198400.00,202109,7,2021,4,2021,3,09,30
2021-09-30,Savings Bond,E,15720.02,202109,1,2021,4,2021,3,09,30
2021-09-30,Savings Bond,EE,4349890151.33,202109,2,2021,4,2021,3,09,30
2021-09-30,Marketable,Bond,583082200.00,202109,4,2021,4,2021,3,09,30
2021-08-31,Savings Bond,E,4481.05,202108,1,2021,4,2021,3,08,31
2021-08-31,Savings Bond,EE,4349787798.56,202108,2,2021,4,2021,3,08,31
2021-08-31,Savings Bond,I,13685217457.83,202108,3,2021,4,2021,3,08,31
2021-08-31,Marketable,Bond,582302700.00,202108,4,2021,4,2021,3,08,31
2021-08-31,Marketable,Bill,14718827100.00,202108,5,2021,4,2021,3,08,31
2021-08-31,Marketable,Note,6053962300.00,202108,6,2021,4,2021,3,08,31
2021-08-31,Marketable,TIPS,167228400.00,202108,7,2021,4,2021,3,08,31
2021-07-31,Savings Bond,E,128.45,202107,1,2021,4,2021,3,07,31
2021-07-31,Savings Bond,EE,4357125196.90,202107,2,2021,4,2021,3,07,31
2021-07-31,Savings Bond,I,13536209860.50,202107,3,2021,4,2021,3,07,31
2021-07-31,Marketable,Bond,583976400.00,202107,4,2021,4,2021,3,07,31
2021-07-31,Marketable,Bill,14774385600.00,202107,5,2021,4,2021,3,07,31
2021-07-31,Marketable,Note,6138207300.00,202107,6,2021,4,2021,3,07,31
2021-07-31,Marketable,TIPS,167153400.00,202107,7,2021,4,2021,3,07,31
2021-06-30,Savings Bond,E,21442.39,202106,1,2021,3,2021,2,06,30
2021-06-30,Savings Bond,EE,4356933684.97,202106,2,2021,3,2021,2,06,30
2021-06-30,Savings Bond,I,13346761931.99,202106,3,2021,3,2021,2,06,30
2021-06-30,Marketable,Bond,583912700.00,202106,4,2021,3,2021,2,06,30
2021-06-30,Marketable,Bill,14830759100.00,202106,5,2021,3,2021,2,06,30
2021-06-30,Marketable,Note,6137767100.00,202106,6,2021,3,2021,2,06,30
2021-06-30,Marketable,TIPS,186217400.00,202106,7,2021,3,2021,2,06,30
2021-05-31,Savings Bond,E,126.95,202105,1,2021,3,2021,2,05,31
2021-05-31,Savings Bond,EE,4356603325.38,202105,2,2021,3,2021,2,05,31
2021-05-31,Savings Bond,I,13017456867.78,202105,3,2021,3,2021,2,05,31
2021-05-31,Marketable,Bond,576225400.00,202105,4,2021,3,2021,2,05,31
2021-05-31,Marketable,Bill,15085903400.00,202105,5,2021,3,2021,2,05,31
2021-05-31,Marketable,Note,6204806200.00,202105,6,2021,3,2021,2,05,31
2021-05-31,Marketable,TIPS,186291000.00,202105,7,2021,3,2021,2,05,31
2021-04-30,Savings Bond,E,110.62,202104,1,2021,3,2021,2,04,30
2021-04-30,Savings Bond,EE,4362800691.43,202104,2,2021,3,2021,2,04,30
2021-04-30,Savings Bond,I,12863877075.42,202104,3,2021,3,2021,2,04,30
2021-04-30,Marketable,Bond,582080300.00,202104,4,2021,3,2021,2,04,30
2021-04-30,Marketable,Bill,15395863400.00,202104,5,2021,3,2021,2,04,30
2021-04-30,Marketable,Note,6224892900.00,202104,6,2021,3,2021,2,04,30
2021-04-30,Marketable,TIPS,186099000.00,202104,7,2021,3,2021,2,04,30
2021-03-31,Savings Bond,E,28527.26,202103,1,2021,2,2021,1,03,31
2021-03-31,Savings Bond,EE,4371284377.74,202103,2,2021,2,2021,1,03,31
